adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
-0.08217717,24,,2.14646,,1.536679,2026-04-12 21:00:00 UTC,False,,,,,,,2026-04-11 21:00:00 UTC,,
-0.09947479,23,,2.18769,,1.48887182,2026-04-12 21:00:00 UTC,False,,,,,,,2026-04-11 22:00:00 UTC,,
-0.0918658,24,,2.16936,,1.75232327,2026-04-12 23:00:00 UTC,False,,,,,,,2026-04-11 23:00:00 UTC,,
-0.05394257,23,,2.0824,,1.86725893,2026-04-12 23:00:00 UTC,False,,,,,,,2026-04-12 00:00:00 UTC,,
-0.05877884,22,,2.0931,,1.8526014,2026-04-12 23:00:00 UTC,False,,,,,,,2026-04-12 01:00:00 UTC,,
-0.06041731,21,,2.09675,,1.84763563,2026-04-12 23:00:00 UTC,False,,,,,,,2026-04-12 02:00:00 UTC,,
-0.04881758,20,,2.07118,,1.88279145,2026-04-12 23:00:00 UTC,False,,,,,,,2026-04-12 03:00:00 UTC,,
-0.03241064,24,,2.03606,,2.06952153,2026-04-13 04:00:00 UTC,False,,,,,,,2026-04-12 04:00:00 UTC,,
0.0,23,,1.97007,,2.17233905,2026-04-13 04:00:00 UTC,False,,,,,,,2026-04-12 05:00:00 UTC,,
-0.10179174,24,,2.77272,,1.43208835,2026-04-13 06:00:00 UTC,False,,,,,,,2026-04-12 06:00:00 UTC,,
-0.12407588,24,,2.84326,,2.28681865,2026-04-13 07:00:00 UTC,False,,,,,,,2026-04-12 07:00:00 UTC,,
-0.10015609,23,,2.76768,,2.37657533,2026-04-13 07:00:00 UTC,False,,,,,,,2026-04-12 08:00:00 UTC,,
0.0,22,,2.49048,,2.75240114,2026-04-13 07:00:00 UTC,False,,,,,,,2026-04-12 09:00:00 UTC,,
0.0,21,,2.52605,,2.69956256,2026-04-13 07:00:00 UTC,False,,,,,,,2026-04-12 10:00:00 UTC,,
0.0,20,,2.54719,,2.66885862,2026-04-13 07:00:00 UTC,False,,,,,,,2026-04-12 11:00:00 UTC,,
-0.00750822,24,,2.73567,,2.5285579,2026-04-13 12:00:00 UTC,False,,,,,,,2026-04-12 12:00:00 UTC,,
0.0,24,,2.71513,,2.56520682,2026-04-13 13:00:00 UTC,False,,,,,,,2026-04-12 13:00:00 UTC,,
0.0,23,,2.85879,,2.38604794,2026-04-13 13:00:00 UTC,False,,,,,,,2026-04-12 14:00:00 UTC,,
0.0,22,,3.07215,,2.15088781,2026-04-13 13:00:00 UTC,False,,,,,,,2026-04-12 15:00:00 UTC,,
0.0,24,,3.17048,,2.54756693,2026-04-13 16:00:00 UTC,False,,,,,,,2026-04-12 16:00:00 UTC,,
-0.02771717,23,,3.9048,,1.88042665,2026-04-13 16:00:00 UTC,False,,,,,,,2026-04-12 17:00:00 UTC,,
0.0,24,,3.79657,,2.0218276,2026-04-13 18:00:00 UTC,False,,,,,,,2026-04-12 18:00:00 UTC,,
0.0,24,,4.39336,,1.81121055,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-12 19:00:00 UTC,,
0.0,23,,4.89066,,1.5253565,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-12 20:00:00 UTC,,
-0.02247432,22,,5.44488,,1.26830711,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-12 21:00:00 UTC,,
0.0,21,,5.32251,,1.32045783,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-12 22:00:00 UTC,,
-0.06498648,20,,5.97078,,1.06851701,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-12 23:00:00 UTC,,
-0.05518831,19,,5.90886,,1.09019337,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-13 00:00:00 UTC,,
0.0,18,,5.58276,,1.21228568,2026-04-13 19:00:00 UTC,False,,,,,,,2026-04-13 01:00:00 UTC,,
0.0,17,Neutral / Unclear,5.69802,Medium,1.16753539,2026-04-13 19:00:00 UTC,False,Mixed L/S Structure,OI Deleveraging After Pump,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-04-13 02:00:00 UTC,Trades هادئة,Confirmed Trigger
0.0,16,Distribution Risk,5.84027,Medium,1.11474127,2026-04-13 19:00:00 UTC,False,Long Consensus,OI Deleveraging After Pump,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-04-13 03:00:00 UTC,Trades هادئة,Trigger Candidate
-0.0091508,15,Distribution Risk,6.24973,Medium,0.97619097,2026-04-13 19:00:00 UTC,False,Account Count Without Size,OI هابط تدريجي,Bull Trap Risk,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-04-13 04:00:00 UTC,Trades هادئة,Confirmed Trigger
0.0,14,Distribution Risk,6.19254,Medium,0.9944417,2026-04-13 19:00:00 UTC,False,Crowd Chasing / Large Position Caution,OI هابط تدريجي,Bull Trap Risk,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-04-13 05:00:00 UTC,Trades هادئة,No Trigger
0.0,13,Early Bullish Structure,6.7435,Medium,0.83149107,2026-04-13 19:00:00 UTC,False,Mixed L/S Structure,Delayed Constructive OI Reload After Reset,Absorption After Flush,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-04-13 06:00:00 UTC,Trades هادئة,No Trigger
