adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
-0.00065703,7,,0.1522,,0.00591327,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 18:15:00 UTC,,
-0.00262295,6,,0.1525,,0.00393443,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 18:30:00 UTC,,
-0.00392927,5,,0.1527,,0.00261952,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 18:45:00 UTC,,
-0.00392927,4,,0.1527,,0.00261952,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 19:00:00 UTC,,
0.0,3,,0.1521,,0.00657462,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 19:15:00 UTC,,
-0.0006566,2,,0.1523,,0.00525279,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 19:30:00 UTC,,
0.0,1,,0.1522,,0.00591327,2026-05-06 20:00:00 UTC,False,,,,,,,2026-05-06 19:45:00 UTC,,
-0.02873939,7,,0.1531,,-0.00522534,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 20:00:00 UTC,,
-0.02106649,6,,0.1519,,0.00263331,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 20:15:00 UTC,,
-0.00998668,5,,0.1502,,0.01398136,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 20:30:00 UTC,,
-0.00998668,4,,0.1502,,0.01398136,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 20:45:00 UTC,,
0.0,3,,0.1487,,0.02420982,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 21:00:00 UTC,,
0.0,2,,0.1507,,0.01061712,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 21:15:00 UTC,,
0.0,1,,0.1521,,0.00131492,2026-05-06 21:45:00 UTC,False,,,,,,,2026-05-06 21:30:00 UTC,,
-0.02166776,7,,0.1523,,-0.01050558,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 21:45:00 UTC,,
-0.01062417,6,,0.1506,,0.00066401,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 22:00:00 UTC,,
-0.00334448,5,,0.1495,,0.00802676,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 22:15:00 UTC,,
-0.00732845,4,,0.1501,,0.00399734,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 22:30:00 UTC,,
-0.0040107,3,,0.1496,,0.00735294,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 22:45:00 UTC,,
0.0,2,,0.149,,0.0114094,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 23:00:00 UTC,,
0.0,1,,0.1499,,0.00533689,2026-05-06 23:30:00 UTC,False,,,,,,,2026-05-06 23:15:00 UTC,,
-0.00132714,1,,0.1507,,-0.00132714,2026-05-06 23:45:00 UTC,False,,,,,,,2026-05-06 23:30:00 UTC,,
-0.0358804,24,,0.1505,,0.01395349,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-06 23:45:00 UTC,,
-0.02943144,23,,0.1495,,0.02073579,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-07 00:00:00 UTC,,
-0.02355316,22,,0.1486,,0.0269179,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-07 00:15:00 UTC,,
-0.02157788,21,,0.1483,,0.02899528,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-07 00:30:00 UTC,,
-0.02091768,20,,0.1482,,0.02968961,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-07 00:45:00 UTC,,
-0.0142663,19,,0.1472,,0.03668478,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-07 01:00:00 UTC,,
-0.02091768,18,,0.1482,,0.02968961,2026-05-07 05:45:00 UTC,False,,,,,,,2026-05-07 01:15:00 UTC,,
-0.01627119,17,Bearish Structural Risk,0.1475,Medium,0.03457627,2026-05-07 05:45:00 UTC,False,Short Pressure Against Stable Big Positions,OI Flush,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-07 01:30:00 UTC,Trades هادئة,No Trigger
-0.01090661,16,Distribution Risk,0.1467,Low,0.04021813,2026-05-07 05:45:00 UTC,False,Short Pressure Against Stable Big Positions,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 01:45:00 UTC,Trades هادئة,No Trigger
-0.00820232,15,Distribution Risk,0.1463,Medium,0.0430622,2026-05-07 05:45:00 UTC,False,Short Pressure Against Stable Big Positions,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 02:00:00 UTC,Trades صحية تدريجية,No Trigger
-0.00752394,14,Distribution Risk,0.1462,Medium,0.04377565,2026-05-07 05:45:00 UTC,False,Broad Risk-Off / Position Reduction,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 02:15:00 UTC,Trades هادئة,No Trigger
-0.00548321,13,Distribution Risk,0.1459,Medium,0.04592186,2026-05-07 05:45:00 UTC,False,Broad Risk-Off / Position Reduction,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 02:30:00 UTC,Trades هادئة,No Trigger
-0.00887978,24,Neutral / Unclear,0.1464,Medium,0.09562842,2026-05-07 08:45:00 UTC,False,Broad Risk-Off / Position Reduction,Price-led Base Move Without OI Expansion,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 02:45:00 UTC,Trades هادئة,No Trigger
-0.01023192,24,Distribution Risk,0.1466,Medium,0.10777626,2026-05-07 09:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:00:00 UTC,Trades هادئة,Trigger Candidate
-0.00752394,23,Distribution Risk,0.1462,Low,0.11080711,2026-05-07 09:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:15:00 UTC,Trades هادئة,Trigger Candidate
-0.00548321,22,Neutral / Unclear,0.1459,Medium,0.11309116,2026-05-07 09:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 03:30:00 UTC,Trades هادئة,No Trigger
0.0,21,Distribution Risk,0.1451,Low,0.11922812,2026-05-07 09:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 03:45:00 UTC,Trades هادئة,No Trigger
0.0,20,Neutral / Unclear,0.1458,Medium,0.1138546,2026-05-07 09:00:00 UTC,False,Account Count Without Size,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:00:00 UTC,Trades هادئة,No Trigger
-0.00273038,24,Neutral / Unclear,0.1465,Medium,0.12286689,2026-05-07 10:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:15:00 UTC,Trades هادئة,No Trigger
0.0,24,Neutral / Unclear,0.1461,Medium,0.14852841,2026-05-07 10:30:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 04:30:00 UTC,Trades هادئة,No Trigger
0.0,23,Neutral / Unclear,0.148,Medium,0.13378378,2026-05-07 10:30:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-07 04:45:00 UTC,Trades إشعال من Base بدون Reset,Confirmed Trigger
-0.00466667,24,Early-Live Bullish Structure,0.15,Medium,0.13,2026-05-07 11:00:00 UTC,True,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Price-led Base Ignition without Reset,Pre-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-07 05:00:00 UTC,Trades إشعال من Base بدون Reset,Confirmed Trigger
0.0,24,Distribution Risk,0.1493,Medium,0.1399866,2026-05-07 11:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI صاعد انفجاري,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 05:15:00 UTC,Trades هادئة,Trigger Candidate
0.0,23,Neutral / Unclear,0.1502,Medium,0.13315579,2026-05-07 11:15:00 UTC,False,Account Count Without Size,OI صاعد انفجاري,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-07 05:30:00 UTC,Trades هادئة,Confirmed Trigger
-0.01245085,22,Early-Live Bullish Structure,0.1526,Medium,0.11533421,2026-05-07 11:15:00 UTC,True,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Price-led Base Ignition without Reset,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-07 05:45:00 UTC,Trades إشعال من Base بدون Reset,Confirmed Trigger
-0.00659196,21,Bullish but Late,0.1517,Low,0.12195122,2026-05-07 11:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد انفجاري,Late Long Crowding,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 06:00:00 UTC,Trades صحية تدريجية,Trigger Candidate
0.0,20,Bullish but Late,0.1507,Low,0.12939615,2026-05-07 11:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد تدريجي,Late Long Crowding,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 06:15:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.00657462,19,Neutral / Unclear,0.1521,Medium,0.11900066,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Flush,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 06:30:00 UTC,Trades هادئة,Trigger Candidate
-0.00722733,18,Neutral / Unclear,0.1522,Medium,0.11826544,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 06:45:00 UTC,Trades هادئة,Trigger Candidate
-0.00592105,17,Distribution Risk,0.152,Medium,0.11973684,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Failed Base Vacuum Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 07:00:00 UTC,Trades تنظيف,Trigger Candidate
-0.00132188,16,Distribution Risk,0.1513,Medium,0.12491738,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Deleveraging After Pump,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 07:15:00 UTC,Trades هادئة,Trigger Candidate
-0.00395517,15,Distribution Risk,0.1517,Medium,0.12195122,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Deleveraging After Pump,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 07:30:00 UTC,Trades هادئة,Trigger Candidate
-0.00395517,14,Distribution Risk,0.1517,Medium,0.12195122,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 07:45:00 UTC,Trades هادئة,Trigger Candidate
-0.00395517,13,Neutral / Unclear,0.1517,Medium,0.12195122,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 08:00:00 UTC,Trades هادئة,No Trigger
0.0,12,Distribution Risk,0.1511,Low,0.12640635,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 08:15:00 UTC,Trades هادئة,No Trigger
0.0,11,Neutral / Unclear,0.1511,Medium,0.12640635,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 08:30:00 UTC,Trades هادئة,No Trigger
-0.00249377,10,Neutral / Unclear,0.1604,Medium,0.06109726,2026-05-07 11:15:00 UTC,False,Mixed L/S Structure,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-07 08:45:00 UTC,Trades / Quote Vacuum Ignition من Base بدون Reset,Confirmed Trigger
-0.01477833,9,Bullish but Late,0.1624,Medium,0.04802956,2026-05-07 11:15:00 UTC,False,Short Pressure Against Stable Big Positions,OI صاعد انفجاري,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 09:00:00 UTC,Trades إشعال,Confirmed Trigger
-0.0086741,8,Bullish but Late,0.1614,Low,0.05452292,2026-05-07 11:15:00 UTC,False,Short Pressure Against Stable Big Positions,OI صاعد انفجاري,Late Long Crowding,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 09:15:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.00805952,7,Bullish but Late,0.1613,Medium,0.05517669,2026-05-07 11:15:00 UTC,False,Short Pressure Against Stable Big Positions,OI صاعد تدريجي,Late Long Crowding,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 09:30:00 UTC,Trades صحية تدريجية,Trigger Candidate
0.0,6,Neutral / Unclear,0.16,Medium,0.06375,2026-05-07 11:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Confirmed Trigger,2026-05-07 09:45:00 UTC,Trades صحية تدريجية,Trigger Candidate
0.0,5,Bullish but Late,0.1624,Medium,0.04802956,2026-05-07 11:15:00 UTC,False,Mixed L/S Structure,OI هابط تدريجي,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 10:00:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.00364742,24,Bullish but Late,0.1645,Medium,0.05592705,2026-05-07 16:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI ثابت,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 10:15:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.02324195,23,Bullish but Late,0.1678,Low,0.03516091,2026-05-07 16:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد انفجاري,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 10:30:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.02149254,24,Distribution Risk,0.1675,Medium,0.03761194,2026-05-07 16:45:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد تدريجي,Bull Trap Risk,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 10:45:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.03303835,24,Distribution Risk,0.1695,Medium,0.04483776,2026-05-07 17:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Bull Trap Risk,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 11:00:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.03701528,24,Bullish but Late,0.1702,Medium,0.06110458,2026-05-07 17:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Late Long Crowding,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 11:15:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.00606428,23,Post-Pump Crowding Risk,0.1649,Low,0.09520922,2026-05-07 17:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Post-Pump Crowding Risk,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 11:30:00 UTC,Trades صحية تدريجية,Trigger Candidate
-0.00243457,22,Post-Pump Crowding Risk,0.1643,Medium,0.09920876,2026-05-07 17:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI صاعد تدريجي,Post-Pump Crowding Risk,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 11:45:00 UTC,Trades هادئة,Trigger Candidate
-0.00364742,24,Post-Pump Crowding Risk,0.1645,Medium,0.11550152,2026-05-07 18:00:00 UTC,False,Mixed L/S Structure,OI هابط تدريجي,Post-Pump Crowding Risk,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 12:00:00 UTC,Trades هادئة,Trigger Candidate
0.0,24,Neutral / Unclear,0.1639,Medium,0.14399024,2026-05-07 18:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 12:15:00 UTC,Trades هادئة,Trigger Candidate
0.0,24,Neutral / Unclear,0.1644,Medium,0.14172749,2026-05-07 18:30:00 UTC,False,Mixed L/S Structure,OI هابط تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-07 12:30:00 UTC,Trades هادئة,Trigger Candidate
-0.00180941,23,Distribution Risk,0.1658,Medium,0.13208685,2026-05-07 18:30:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Failed Base Vacuum Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 12:45:00 UTC,Trades هادئة,Trigger Candidate
-0.01663696,24,Distribution Risk,0.1683,Medium,0.12537136,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Failed Base Vacuum Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 13:00:00 UTC,Trades هادئة,Trigger Candidate
-0.02704292,23,Neutral / Unclear,0.1701,Medium,0.11346267,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 13:15:00 UTC,Trades هادئة,No Trigger
-0.00540865,22,Neutral / Unclear,0.1664,Low,0.13822115,2026-05-07 19:00:00 UTC,False,Short Pressure Against Stable Big Positions,Delayed Constructive OI Reload From Base,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 13:30:00 UTC,Trades هادئة,No Trigger
-0.01605232,21,Neutral / Unclear,0.1682,Medium,0.12604043,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 13:45:00 UTC,Trades هادئة,No Trigger
-0.01311866,20,Neutral / Unclear,0.1677,Medium,0.12939773,2026-05-07 19:00:00 UTC,False,Short Pressure Against Stable Big Positions,OI هابط تدريجي,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 14:00:00 UTC,Trades هادئة,No Trigger
-0.00361228,19,Bearish Structural Risk,0.1661,Medium,0.14027694,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-07 14:15:00 UTC,Trades هادئة,No Trigger
-0.00180941,18,Distribution Risk,0.1658,Medium,0.14234017,2026-05-07 19:00:00 UTC,False,Mixed L/S Structure,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 14:30:00 UTC,Trades هادئة,No Trigger
0.0,17,Distribution Risk,0.1655,Medium,0.14441088,2026-05-07 19:00:00 UTC,False,Mixed L/S Structure,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-07 14:45:00 UTC,Trades هادئة,No Trigger
-0.01011905,16,Neutral / Unclear,0.168,Medium,0.12738095,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 15:00:00 UTC,Trades هادئة,No Trigger
-0.01070791,15,Neutral / Unclear,0.1681,Medium,0.12671029,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 15:15:00 UTC,Trades هادئة,No Trigger
0.0,14,Neutral / Unclear,0.1663,Low,0.13890559,2026-05-07 19:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Delayed Constructive OI Reload From Base,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-07 15:30:00 UTC,Trades هادئة,No Trigger
0.0,13,Neutral / Unclear,0.1667,Medium,0.13617277,2026-05-07 19:00:00 UTC,False,Mixed L/S Structure,OI صاعد تدريجي,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 15:45:00 UTC,Trades هادئة,No Trigger
0.0,12,Early Bullish Structure,0.1681,Medium,0.12671029,2026-05-07 19:00:00 UTC,False,Short Pressure Against Stable Big Positions,OI صاعد تدريجي,Fresh Long Build-up,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-07 16:00:00 UTC,Trades هادئة,No Trigger
