adverse_before_future_max,bars_to_future_max,bias,close,confidence,future_max_return,future_max_time,is_signal,ls_divergence,oi_read,pattern,price_acceptance,quote_volume_validation,readiness,time,trades_read,trigger_status
0.0,2,,6.9e-05,,0.02898551,2026-05-05 12:45:00 UTC,False,,,,,,,2026-05-05 12:15:00 UTC,,
0.0,1,,7e-05,,0.01428571,2026-05-05 12:45:00 UTC,False,,,,,,,2026-05-05 12:30:00 UTC,,
-0.02816901,1,,7.1e-05,,-0.02816901,2026-05-05 13:00:00 UTC,False,,,,,,,2026-05-05 12:45:00 UTC,,
0.0,1,,6.9e-05,,0.0,2026-05-05 13:15:00 UTC,False,,,,,,,2026-05-05 13:00:00 UTC,,
-0.10144928,2,,6.9e-05,,-0.08695652,2026-05-05 13:45:00 UTC,False,,,,,,,2026-05-05 13:15:00 UTC,,
0.0,1,,6.2e-05,,0.01612903,2026-05-05 13:45:00 UTC,False,,,,,,,2026-05-05 13:30:00 UTC,,
-0.04761905,2,,6.3e-05,,-0.01587302,2026-05-05 14:15:00 UTC,False,,,,,,,2026-05-05 13:45:00 UTC,,
0.0,1,,6e-05,,0.03333333,2026-05-05 14:15:00 UTC,False,,,,,,,2026-05-05 14:00:00 UTC,,
0.0,1,,6.2e-05,,0.0,2026-05-05 14:30:00 UTC,False,,,,,,,2026-05-05 14:15:00 UTC,,
-0.01612903,2,,6.2e-05,,0.0,2026-05-05 15:00:00 UTC,False,,,,,,,2026-05-05 14:30:00 UTC,,
0.0,1,,6.1e-05,,0.01639344,2026-05-05 15:00:00 UTC,False,,,,,,,2026-05-05 14:45:00 UTC,,
-0.06451613,8,,6.2e-05,,0.0,2026-05-05 17:00:00 UTC,False,,,,,,,2026-05-05 15:00:00 UTC,,
-0.04918033,7,,6.1e-05,,0.01639344,2026-05-05 17:00:00 UTC,False,,,,,,,2026-05-05 15:15:00 UTC,,
-0.04918033,24,,6.1e-05,,0.04918033,2026-05-05 21:30:00 UTC,False,,,,,,,2026-05-05 15:30:00 UTC,,
0.0,23,,5.8e-05,,0.10344828,2026-05-05 21:30:00 UTC,False,,,,,,,2026-05-05 15:45:00 UTC,,
0.0,24,,5.9e-05,,0.13559322,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 16:00:00 UTC,,
0.0,23,,5.9e-05,,0.13559322,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 16:15:00 UTC,,
0.0,22,,5.9e-05,,0.13559322,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 16:30:00 UTC,,
-0.03278689,21,,6.1e-05,,0.09836066,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 16:45:00 UTC,,
-0.0483871,20,,6.2e-05,,0.08064516,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 17:00:00 UTC,,
-0.01666667,19,,6e-05,,0.11666667,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 17:15:00 UTC,,
-0.0483871,18,,6.2e-05,,0.08064516,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 17:30:00 UTC,,
-0.0483871,17,,6.2e-05,,0.08064516,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 17:45:00 UTC,,
-0.03278689,16,,6.1e-05,,0.09836066,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 18:00:00 UTC,,
-0.03278689,15,,6.1e-05,,0.09836066,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 18:15:00 UTC,,
-0.03278689,14,,6.1e-05,,0.09836066,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 18:30:00 UTC,,
-0.01666667,13,,6e-05,,0.11666667,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 18:45:00 UTC,,
-0.03278689,12,,6.1e-05,,0.09836066,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 19:00:00 UTC,,
-0.01666667,11,,6e-05,,0.11666667,2026-05-05 22:00:00 UTC,False,,,,,,,2026-05-05 19:15:00 UTC,,
-0.01666667,10,Bearish Structural Risk,6e-05,Medium,0.11666667,2026-05-05 22:00:00 UTC,False,Long Consensus,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-05 19:30:00 UTC,Trades هادئة,No Trigger
0.0,9,Distribution Risk,5.9e-05,Low,0.13559322,2026-05-05 22:00:00 UTC,False,Broad Risk-Off / Position Reduction,OI هابط تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-05 19:45:00 UTC,Trades هادئة,No Trigger
0.0,8,Neutral / Unclear,5.9e-05,Medium,0.13559322,2026-05-05 22:00:00 UTC,False,Account Count Without Size,OI ثابت,Mixed Structure,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-05 20:00:00 UTC,Trades هادئة,No Trigger
0.0,7,Bearish Structural Risk,6e-05,Medium,0.11666667,2026-05-05 22:00:00 UTC,False,Quiet Top Positioning,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-05 20:15:00 UTC,Trades هادئة,No Trigger
0.0,6,Bearish Structural Risk,6e-05,Medium,0.11666667,2026-05-05 22:00:00 UTC,False,Long Consensus,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-05 20:30:00 UTC,Trades هادئة,No Trigger
-0.01612903,5,Neutral / Unclear,6.2e-05,Medium,0.08064516,2026-05-05 22:00:00 UTC,False,Long Consensus,Price-led Base Move Without OI Expansion,Mixed Structure,Pre-OI / No-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-05 20:45:00 UTC,Trades هادئة,No Trigger
-0.01612903,4,Neutral / Unclear,6.2e-05,Medium,0.08064516,2026-05-05 22:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,Price-led Base Move Without OI Expansion,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-05 21:00:00 UTC,Trades هادئة,No Trigger
0.0,3,Distribution Risk,6.1e-05,Low,0.09836066,2026-05-05 22:00:00 UTC,False,Broad Risk-Off / Position Reduction,Delayed Constructive OI Reload From Base,Bull Trap Risk,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-05 21:15:00 UTC,Trades هادئة,No Trigger
0.0,2,Neutral / Unclear,6.4e-05,Medium,0.046875,2026-05-05 22:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI هابط تدريجي,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-05 21:30:00 UTC,Trades هادئة,No Trigger
0.0,1,Neutral / Unclear,6.4e-05,Medium,0.046875,2026-05-05 22:00:00 UTC,False,Mixed L/S Structure,OI هابط تدريجي,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,2026-05-05 21:45:00 UTC,Trades هادئة,No Trigger
0.0,1,Neutral / Unclear,6.7e-05,Medium,0.0,2026-05-05 22:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI هابط تدريجي,Mixed Structure,Pre-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-05 22:00:00 UTC,Trades إشعال من Base بدون Reset,Confirmed Trigger
-0.02985075,1,Neutral / Unclear,6.7e-05,Medium,-0.02985075,2026-05-05 22:30:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Flush,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-05 22:15:00 UTC,Trades هادئة,Confirmed Trigger
-0.03076923,2,Distribution Risk,6.5e-05,Low,0.0,2026-05-05 23:00:00 UTC,False,Broad Risk-Off / Position Reduction,OI هابط تدريجي,Failed Base Vacuum Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-05 22:30:00 UTC,Trades هادئة,Trigger Candidate
0.0,1,Distribution Risk,6.3e-05,Medium,0.03174603,2026-05-05 23:00:00 UTC,False,Long Consensus,OI Deleveraging After Pump,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-05 22:45:00 UTC,Trades هادئة,Trigger Candidate
-0.07692308,8,Distribution Risk,6.5e-05,Medium,0.0,2026-05-06 01:00:00 UTC,False,Mixed L/S Structure,OI Deleveraging After Pump,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-05 23:00:00 UTC,Trades هادئة,Trigger Candidate
-0.0625,7,Neutral / Unclear,6.4e-05,Medium,0.015625,2026-05-06 01:00:00 UTC,False,Short Pressure Against Stable Big Positions,OI Deleveraging After Pump,Mixed Structure,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-05 23:15:00 UTC,Trades هادئة,Trigger Candidate
-0.01639344,6,Distribution Risk,6.1e-05,Low,0.06557377,2026-05-06 01:00:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد تدريجي,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-05 23:30:00 UTC,Trades هادئة,Failed Trigger
-0.03225806,5,Neutral / Unclear,6.2e-05,Medium,0.0483871,2026-05-06 01:00:00 UTC,False,Mixed L/S Structure,OI صاعد تدريجي,Mixed Structure,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-05 23:45:00 UTC,Trades هادئة,Trigger Candidate
-0.04761905,4,Neutral / Unclear,6.3e-05,Medium,0.03174603,2026-05-06 01:00:00 UTC,False,Long Consensus,OI صاعد تدريجي,Mixed Structure,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,2026-05-06 00:00:00 UTC,Trades هادئة,Trigger Candidate
0.0,3,Neutral / Unclear,6e-05,Low,0.08333333,2026-05-06 01:00:00 UTC,False,Mixed L/S Structure,OI صاعد تدريجي,Mixed Structure,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-06 00:15:00 UTC,Trades هادئة,No Trigger
0.0,2,Neutral / Unclear,6e-05,Medium,0.08333333,2026-05-06 01:00:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI صاعد تدريجي,Mixed Structure,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-06 00:30:00 UTC,Trades هادئة,No Trigger
0.0,1,Neutral / Unclear,6.1e-05,Medium,0.06557377,2026-05-06 01:00:00 UTC,False,Mixed L/S Structure,OI صاعد تدريجي,Mixed Structure,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-06 00:45:00 UTC,Trades هادئة,No Trigger
-0.03076923,5,Bullish but Late,6.5e-05,Medium,0.0,2026-05-06 02:15:00 UTC,False,Short Pressure Against Stable Big Positions,Delayed Constructive OI Reload From Base,Price-led Base Ignition without Reset,Pre-OI Accepted Move From Base,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-06 01:00:00 UTC,Trades إشعال من Base بدون Reset,Confirmed Trigger
0.0,4,Distribution Risk,6.3e-05,Low,0.03174603,2026-05-06 02:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI صاعد تدريجي,Bull Trap Risk,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 01:15:00 UTC,Trades هادئة,Trigger Candidate
-0.015625,3,Distribution Risk,6.4e-05,Medium,0.015625,2026-05-06 02:15:00 UTC,False,Retail Long / Smart Exit,Delayed Constructive OI Reload From Base,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 01:30:00 UTC,Trades هادئة,Trigger Candidate
-0.015625,2,Distribution Risk,6.4e-05,Medium,0.015625,2026-05-06 02:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI صاعد تدريجي,Bull Trap Risk,No Clear Acceptance,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 01:45:00 UTC,Trades هادئة,Trigger Candidate
0.0,1,Early Bullish Structure,6.3e-05,Low,0.03174603,2026-05-06 02:15:00 UTC,True,Broad Risk-Off / Position Reduction,OI صاعد تدريجي,Short Build Under Stable Price,OI Trap Risk,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,2026-05-06 02:00:00 UTC,Trades هادئة,Trigger Candidate
0.0,1,Early Bullish Structure,6.5e-05,Medium,0.0,2026-05-06 02:30:00 UTC,True,Long Consensus,OI صاعد تدريجي,Fresh Long Build-up,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-06 02:15:00 UTC,Trades هادئة,Confirmed Trigger
-0.06153846,11,Neutral / Unclear,6.5e-05,Medium,0.0,2026-05-06 05:15:00 UTC,False,Long Consensus,OI هابط تدريجي,Mixed Structure,Accepted Breakout,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,2026-05-06 02:30:00 UTC,Trades صحية تدريجية,Confirmed Trigger
-0.046875,10,Distribution Risk,6.4e-05,Medium,0.015625,2026-05-06 05:15:00 UTC,False,Long Consensus,Price-led Base Move Without OI Expansion,Failed Base Vacuum Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 02:45:00 UTC,Trades هادئة,Trigger Candidate
-0.046875,9,Distribution Risk,6.4e-05,Medium,0.015625,2026-05-06 05:15:00 UTC,False,Broad Risk-Off / Position Reduction,OI هابط تدريجي,Failed Base Ignition,Controlled Pullback,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 03:00:00 UTC,Trades هادئة,Trigger Candidate
-0.01612903,8,Distribution Risk,6.2e-05,Medium,0.0483871,2026-05-06 05:15:00 UTC,False,Crowd Chasing / Large Position Caution,OI ثابت,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 03:15:00 UTC,Trades هادئة,No Trigger
0.0,7,Distribution Risk,6.1e-05,Medium,0.06557377,2026-05-06 05:15:00 UTC,False,Top Position Retention with Non-Chasing Accounts,OI Flush,Failed Base Ignition,Structure Invalidated,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,2026-05-06 03:30:00 UTC,Trades هادئة,No Trigger
0.0,6,Bearish Structural Risk,6.2e-05,Medium,0.0483871,2026-05-06 05:15:00 UTC,False,Long Consensus,OI هابط تدريجي,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-06 03:45:00 UTC,Trades هادئة,No Trigger
0.0,5,Bearish Structural Risk,6.3e-05,Medium,0.03174603,2026-05-06 05:15:00 UTC,False,Long Consensus,OI Flush,Liquidity Exit / Decay,No Trigger / Base Holding,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Watchlist Only,2026-05-06 04:00:00 UTC,Trades هادئة,No Trigger
