symbol,file,candles,event_start_time,event_peak_time,event_peak_return,first_signal_time,first_signal_price,first_signal_pattern,first_signal_bias,first_signal_readiness,first_signal_confidence,lead_bars,max_future_return_after_signal,max_adverse_before_rise,result_class,failure_reason,total_labeled_events_in_file,quote_volume_available,pattern_base_range_prev8,pattern_price_change_prev24,pattern_oi_change_prev24,pattern_oi_change_pct_last4_sum,pattern_trades_ratio_last4,pattern_position_minus_account,pattern_reset_or_flush_last12
ALLOUSDT,ALLOUSDT.txt,220,2026-05-28 12:30:00 UTC,2026-05-28 18:30:00 UTC,0.42448363,2026-05-27 03:30:00 UTC,0.08534,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,132,0.03820014,-0.01347551,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,2,False,0.033639,0.063504,0.28959,2.35,1.597851,9.899999999999999,False
BEATUSDT,BEATUSDT.txt,220,2026-05-22 03:30:00 UTC,2026-05-22 09:15:00 UTC,0.28575291,2026-05-20 18:00:00 UTC,0.6052,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,134,0.11120291,0.0,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,5,False,0.031163,-0.03868,-0.073549,-0.47,0.490924,4.950000000000003,False
BSBUSDT,BSBUSDT.txt,220,2026-05-21 08:45:00 UTC,2026-05-21 14:00:00 UTC,0.35703772,2026-05-20 15:15:00 UTC,0.85279,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,70,0.89281066,0.0,Early Success,,5,False,0.043176,-0.173264,0.06463,-2.0,0.894122,-0.060000000000002274,True
CLOUSDT,FETCHING BINANC-WPS Office (١).txt,220,2026-05-07 09:05:00 UTC,2026-05-07 09:45:00 UTC,0.36202628,2026-05-07 03:05:00 UTC,0.1055,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,72,0.00341232,-0.01146919,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,2,False,0.004576,-0.000951,0.001735,0.1,0.56654,-14.070000000000007,False
DOGSUSDT,FETCING BINANC-WPS Office.txt,220,2026-05-06 19:15:00 UTC,2026-05-07 01:15:00 UTC,0.50877193,2026-05-06 02:00:00 UTC,6.3e-05,Short Build Under Stable Price,Early Bullish Structure,Early-Live Structure,Low,69,0.03174603,0.0,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,7,False,0.017544,0.036364,-0.070024,-2.3563,0.355209,-2.1600000000000037,True
DYDXUSDT,FETCHING BINANC-WPS Office (٦).txt,100,2026-05-07 12:15:00 UTC,2026-05-07 18:15:00 UTC,0.14399024,2026-05-07 05:00:00 UTC,0.15,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,29,0.13,-0.00466667,Early Success,,2,False,0.035499,0.091573,0.166229,-0.57,1.790747,4.009999999999998,True
EDENUSDT,EDENUSDT.txt,101,2026-05-17 12:55:00 UTC,2026-05-17 14:55:00 UTC,0.37257043,2026-05-17 13:10:00 UTC,0.04651,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,-3,0.3513223,0.0,Late Detection,QUOTE_VOLUME_MISSING_CONFIDENCE_CAP,3,False,0.029124,0.077702,0.288232,71.77,4.288398,-4.939999999999998,False
GUAUSDT,GUAUSDT.txt,220,2026-05-28 00:45:00 UTC,2026-05-28 06:45:00 UTC,1.0538943,2026-05-27 01:15:00 UTC,1.2693,Price-led Base Vacuum Ignition without OI Expansion,Early-Live Bullish Structure,Accepted Structure,Medium,94,0.07066887,-0.00811471,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,6,False,0.137832,-0.590599,0.561983,2.261312,0.283887,-1.8500000000000014,True
JTOUSDT,FETCHING BINANC-WPS Office (٢).txt,220,2026-05-07 15:40:00 UTC,2026-05-07 17:40:00 UTC,0.28584906,2026-05-07 07:05:00 UTC,0.4204,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,103,0.02212179,0.0,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,3,False,0.059529,0.101091,-0.026029,-1.25,2.01002,-1.9200000000000017,False
MAGMAUSDT,MAGMAUSDT.txt,100,2026-06-03 05:30:00 UTC,2026-06-03 11:15:00 UTC,0.33779505,2026-06-03 03:45:00 UTC,0.28169,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,7,0.22876211,-0.01338351,Early Success,,1,False,0.012888,-0.000144,0.000993,-0.03,0.84492,-5.210000000000001,False
NILUSDT,FETCHING BINANC-WPS Office (٣).txt,220,2026-05-07 16:25:00 UTC,2026-05-07 18:20:00 UTC,0.16755873,2026-05-07 03:50:00 UTC,0.0467,Fresh Long Build-up,Early Bullish Structure,Confirmed Trigger,Medium,151,0.10813704,-0.00406852,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,7,False,0.052458,0.051802,0.200763,-1.2133,0.936435,-7.829999999999998,True
NOTUSDT,FETCHING BINANC-WPS Office (٤).txt,220,2026-05-07 03:50:00 UTC,2026-05-07 05:30:00 UTC,0.16833333,2026-05-07 04:30:00 UTC,0.000687,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,-8,0.02037846,-0.04657933,Late Detection,TRIGGER_DETECTED_TOO_LATE,3,False,0.048465,0.046233,-0.019811,-2.39,0.881696,-6.890000000000001,False
OPNUSDT,OPNUSDT.txt,100,2026-06-03 12:15:00 UTC,2026-06-03 16:15:00 UTC,0.67669173,2026-06-03 13:30:00 UTC,0.1279,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,-5,0.56919468,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,2,False,0.009186,-0.005809,-0.013089,0.11,0.920091,-7.82,False
RAVEUSDT,FETCHING BINANC-WPS Offi.txt,100,2026-04-12 02:00:00 UTC,2026-04-12 23:00:00 UTC,1.84763563,2026-04-13 16:00:00 UTC,11.24749,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,-38,0.31519566,-0.35233817,Late Detection,NO_DECISION_MIN_WINDOW_OR_PARSE,3,False,0.049053,-0.02486,0.005307,0.53,2.004498,28.29,False
TSTUSDT,FETCHING BINANC-WPS Office (٥).txt,220,2026-05-03 07:00:00 UTC,2026-05-03 09:15:00 UTC,0.54254931,2026-05-03 17:30:00 UTC,0.01564,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,-42,-0.00824808,-0.00824808,Late Detection,TRIGGER_DETECTED_TOO_LATE,6,False,0.009548,-0.067591,-0.050016,-0.236504,0.653714,-0.4399999999999977,False
UBUSDT,FETCHING BINANC-WPS Office.txt,220,2026-05-22 10:15:00 UTC,2026-05-22 13:45:00 UTC,0.19456633,2026-05-20 17:15:00 UTC,0.11827,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,164,-0.00160649,-0.00659508,Too Early / Exhausted Before Event,SIGNAL_TOO_EARLY_NO_VALID_FUTURE_RETURN,3,False,0.061804,0.102841,-0.037457,-0.96,1.306635,18.020000000000003,False
