account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.8678,15,,,,0.6311,,0.06322294,1.8058,0,27994726.0,0.0,,,1.9446,,,,False,BEATUSDT,2026-05-17 09:00:00 UTC,2447
1.8727,14,,,,0.6315,,0.06254949,1.8161,1,27962386.0,-0.12,,,1.944,,,,False,BEATUSDT,2026-05-17 09:15:00 UTC,1187
1.8736,13,,,,0.6326,,0.06070187,1.8043,2,27970538.0,0.03,,,1.9447,,,,False,BEATUSDT,2026-05-17 09:30:00 UTC,1350
1.8612,12,,,,0.6324,,0.06103732,1.7847,3,27983645.0,0.05,,,1.9452,,,,False,BEATUSDT,2026-05-17 09:45:00 UTC,2458
1.8703,11,,,,0.6374,,0.05271415,1.8137,4,27972552.0,-0.04,,,1.9422,,,,False,BEATUSDT,2026-05-17 10:00:00 UTC,2217
1.8555,10,,,,0.64,,0.0484375,1.7832,5,27987482.0,0.05,,,1.9418,,,,False,BEATUSDT,2026-05-17 10:15:00 UTC,2567
1.8321,9,,,,0.6386,,0.05073598,1.7678,6,28002994.0,0.06,,,1.9387,,,,False,BEATUSDT,2026-05-17 10:30:00 UTC,2743
1.8241,8,,,,0.6468,,0.03741497,1.7541,7,28011137.0,0.03,,,1.9362,,,,False,BEATUSDT,2026-05-17 10:45:00 UTC,4370
1.986,7,,,,0.6511,,0.03056366,1.8653,8,28045184.0,0.12,,,1.935,,,,False,BEATUSDT,2026-05-17 11:00:00 UTC,6642
1.7624,24,,,,0.6613,,0.01512173,1.7397,9,28050104.0,0.02,,,1.9332,,,,False,BEATUSDT,2026-05-17 11:15:00 UTC,15383
1.7345,23,,,,0.6707,,0.00089459,1.736,10,28017067.0,-0.12,,,1.9245,,,,False,BEATUSDT,2026-05-17 11:30:00 UTC,17426
1.7322,22,,,,0.6586,,0.01928333,1.7167,11,28005744.0,-0.04,,,1.9265,,,,False,BEATUSDT,2026-05-17 11:45:00 UTC,12516
1.7322,21,,,,0.6685,,0.00418848,1.6831,12,27986785.0,-0.07,,,1.9319,,,,False,BEATUSDT,2026-05-17 12:00:00 UTC,10503
1.7233,20,,,,0.6644,,0.01038531,1.686,13,28026866.0,0.14,,,1.9293,,,,False,BEATUSDT,2026-05-17 12:15:00 UTC,7401
1.6911,19,,,,0.6684,,0.00433872,1.6483,14,28018135.0,-0.03,,,1.9332,,,,False,BEATUSDT,2026-05-17 12:30:00 UTC,13830
1.6903,24,,,,0.671,,0.01788376,1.6853,15,27990456.0,-0.1,,,1.933,,,,False,BEATUSDT,2026-05-17 12:45:00 UTC,7335
1.6911,23,,,,0.6625,,0.0309434,1.6911,16,28030255.0,0.14,,,1.9326,,,,False,BEATUSDT,2026-05-17 13:00:00 UTC,10029
1.6617,22,,,,0.67,,0.01940299,1.6546,17,28099506.0,0.25,,,1.9448,,,,False,BEATUSDT,2026-05-17 13:15:00 UTC,8203
1.6759,24,,,,0.6547,,0.04948832,1.6688,18,28133159.0,0.12,,,1.9428,,,,False,BEATUSDT,2026-05-17 13:30:00 UTC,8778
1.733,24,,,,0.6457,,0.07170513,1.7152,19,28122783.0,-0.04,,,1.9473,,,,False,BEATUSDT,2026-05-17 13:45:00 UTC,33930
1.7632,23,,,,0.6403,,0.0807434,1.7571,20,28065026.0,-0.21,,,1.9455,,,,False,BEATUSDT,2026-05-17 14:00:00 UTC,18625
1.7196,22,,,,0.6315,,0.09580364,1.7307,21,28009919.0,-0.2,,,1.9642,,,,False,BEATUSDT,2026-05-17 14:15:00 UTC,10383
1.777,21,,,,0.6446,,0.07353397,1.7685,22,27944885.0,-0.23,,,1.9751,,,,False,BEATUSDT,2026-05-17 14:30:00 UTC,10341
1.7902,20,,,,0.6503,,0.06412425,1.8121,23,27915295.0,-0.11,,,1.9705,,,,False,BEATUSDT,2026-05-17 14:45:00 UTC,7837
1.7996,19,,,,0.6513,,0.0624904,1.8377,24,27925071.0,0.04,,,1.9639,,,,False,BEATUSDT,2026-05-17 15:00:00 UTC,6547
1.8233,18,,,,0.6546,,0.05713413,1.8563,25,27885541.0,-0.14,,,1.9635,,,,False,BEATUSDT,2026-05-17 15:15:00 UTC,3874
1.8345,17,,,,0.6589,,0.05023524,1.8777,26,27883982.0,-0.01,,,1.9629,,,,False,BEATUSDT,2026-05-17 15:30:00 UTC,6351
1.8441,16,,,,0.6565,,0.05407464,1.8555,27,27922823.0,0.14,,,1.961,,,,False,BEATUSDT,2026-05-17 15:45:00 UTC,5073
1.8209,15,,,,0.6645,,0.0413845,1.8281,28,27906384.0,-0.06,,,1.9627,,,,False,BEATUSDT,2026-05-17 16:00:00 UTC,6060
1.8066,14,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6655,Medium,0.03981968,1.8313,29,27903805.0,-0.01,Delayed Constructive OI Reload After Reset,Absorption After Flush,1.959,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,FIRST_SIGNAL,True,BEATUSDT,2026-05-17 16:15:00 UTC,5632
1.8297,13,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6665,Medium,0.03825956,1.8563,30,27893939.0,-0.04,Price-led Base Move Without OI Expansion,Mixed Structure,1.9534,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 16:30:00 UTC,5553
1.8353,12,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.671,Medium,0.03129657,1.858,31,27905210.0,0.04,OI ثابت,Mixed Structure,1.9473,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 16:45:00 UTC,4639
1.7793,11,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6692,Medium,0.03407053,1.8074,32,27893157.0,-0.04,Price-led Base Move Without OI Expansion,Mixed Structure,1.9435,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 17:00:00 UTC,7747
1.7863,10,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6713,Medium,0.03083569,1.7988,33,27927280.0,0.12,Delayed Constructive OI Reload After Reset,Absorption After Flush,1.9381,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,BEATUSDT,2026-05-17 17:15:00 UTC,5700
1.7855,9,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6677,Medium,0.03639359,1.7933,34,27913772.0,-0.05,OI ثابت,Absorption After Flush,1.9382,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 17:30:00 UTC,7410
1.7855,8,True,Not Applicable: Reset branch has priority,Distribution Risk,0.6645,Medium,0.0413845,1.8058,35,27888331.0,-0.09,OI ثابت,Failed Base Ignition,1.9367,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-17 17:45:00 UTC,5044
1.7624,7,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6675,Medium,0.03670412,1.7801,36,27885522.0,-0.01,OI ثابت,Absorption After Flush,1.9394,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 18:00:00 UTC,6160
1.7548,6,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6702,Medium,0.0325276,1.7701,37,27898335.0,0.05,OI ثابت,Absorption After Flush,1.9401,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 18:15:00 UTC,5836
1.7435,5,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6709,Medium,0.03145029,1.7793,38,27928239.0,0.11,Delayed Constructive OI Reload After Reset,Absorption After Flush,1.9398,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,BEATUSDT,2026-05-17 18:30:00 UTC,7100
1.739,4,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.683,Medium,0.01317716,1.7755,39,27923580.0,-0.02,Delayed Constructive OI Reload After Reset,Absorption After Flush,1.9381,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,BEATUSDT,2026-05-17 18:45:00 UTC,8560
1.7056,3,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.678,Low,0.02064897,1.764,40,27946256.0,0.08,Delayed Constructive OI Reload After Reset,Absorption After Flush,1.9318,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,True,BEATUSDT,2026-05-17 19:00:00 UTC,11766
1.6998,2,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6805,Medium,0.01689934,1.7709,41,27882009.0,-0.23,OI Flush,Mixed Structure,1.9349,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 19:15:00 UTC,5981
1.6831,1,True,Not Applicable: Reset branch has priority,Early Bullish Structure,0.6871,Medium,0.00713142,1.7533,42,27909780.0,0.1,OI ثابت,Absorption After Flush,1.9354,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-17 19:30:00 UTC,4826
