account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.9326,7,,,,0.1522,,0.00591327,1.7685,0,42133153.1,0.0,,,2.3437,,,,False,DYDXUSDT,2026-05-06 18:15:00 UTC,710
1.9326,6,,,,0.1525,,0.00393443,1.7701,1,42168794.3,0.08,,,2.3539,,,,False,DYDXUSDT,2026-05-06 18:30:00 UTC,1134
1.918,5,,,,0.1527,,0.00261952,1.7601,2,42062050.0,-0.25,,,2.3651,,,,False,DYDXUSDT,2026-05-06 18:45:00 UTC,762
1.918,4,,,,0.1527,,0.00261952,1.7571,3,42223690.9,0.38,,,2.3758,,,,False,DYDXUSDT,2026-05-06 19:00:00 UTC,761
1.9189,3,,,,0.1521,,0.00657462,1.7663,4,42186017.4,-0.09,,,2.3714,,,,False,DYDXUSDT,2026-05-06 19:15:00 UTC,667
1.9334,2,,,,0.1523,,0.00525279,1.777,5,42064409.3,-0.29,,,2.3699,,,,False,DYDXUSDT,2026-05-06 19:30:00 UTC,698
1.9369,1,,,,0.1522,,0.00591327,1.7847,6,41956672.9,-0.26,,,2.3497,,,,False,DYDXUSDT,2026-05-06 19:45:00 UTC,623
1.9386,0,,,,0.1531,,0.0,1.7925,7,41753812.3,-0.48,,,2.3378,,,,False,DYDXUSDT,2026-05-06 20:00:00 UTC,1212
1.942,6,,,,0.1519,,0.00263331,1.7755,8,41664881.9,-0.21,,,2.3132,,,,False,DYDXUSDT,2026-05-06 20:15:00 UTC,629
1.9499,5,,,,0.1502,,0.01398136,1.784,9,41665779.2,0.0021536122486992344,,,2.3155,,,,False,DYDXUSDT,2026-05-06 20:30:00 UTC,1561
1.9691,4,,,,0.1502,,0.01398136,1.7964,10,41427698.6,-0.57,,,2.3189,,,,False,DYDXUSDT,2026-05-06 20:45:00 UTC,838
1.9674,3,,,,0.1487,,0.02420982,1.7988,11,41410466.3,-0.04,,,2.3242,,,,False,DYDXUSDT,2026-05-06 21:00:00 UTC,1961
1.9904,2,,,,0.1507,,0.01061712,1.8035,12,41271382.0,-0.34,,,2.3039,,,,False,DYDXUSDT,2026-05-06 21:15:00 UTC,813
1.9869,1,,,,0.1521,,0.00131492,1.8058,13,41255745.0,-0.04,,,2.302,,,,False,DYDXUSDT,2026-05-06 21:30:00 UTC,750
