account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
2.1807,24,,,,0.1113,,0.15184187,1.5648,0,37248767.0,0.0,,,1.3427,,,EVENT_START,False,OPNUSDT,2026-06-02 15:30:00 UTC,6123
2.1666,24,,,,0.1125,,0.15288889,1.5342,1,36937368.0,-0.84,,,1.3471,,,,False,OPNUSDT,2026-06-02 15:45:00 UTC,1892
2.1536,24,,,,0.1137,,0.15039578,1.5349,2,36741072.0,-0.53,,,1.3489,,,,False,OPNUSDT,2026-06-02 16:00:00 UTC,1645
2.1153,24,,,,0.1141,,0.16827344,1.5387,3,36916238.0,0.48,,,1.3523,,,,False,OPNUSDT,2026-06-02 16:15:00 UTC,1368
2.0883,23,,,,0.1148,,0.16114983,1.5336,4,36818939.0,-0.26,,,1.3459,,,,False,OPNUSDT,2026-06-02 16:30:00 UTC,1263
2.0741,22,,,,0.1152,,0.15711806,1.5329,5,36720477.0,-0.27,,,1.348,,,,False,OPNUSDT,2026-06-02 16:45:00 UTC,1339
2.0386,21,,,,0.1164,,0.145189,1.5157,6,36613624.0,-0.29,,,1.3437,,,,False,OPNUSDT,2026-06-02 17:00:00 UTC,1753
2.0157,20,,,,0.118,,0.12966102,1.5,7,36467911.0,-0.4,,,1.3422,,,,False,OPNUSDT,2026-06-02 17:15:00 UTC,1051
1.9985,19,,,,0.1182,,0.12774958,1.4888,8,36465097.0,-0.01,,,1.3407,,,,False,OPNUSDT,2026-06-02 17:30:00 UTC,1173
1.986,18,,,,0.1198,,0.11268781,1.4888,9,36549364.0,0.23,,,1.3391,,,,False,OPNUSDT,2026-06-02 17:45:00 UTC,1126
1.9762,17,,,,0.119,,0.12016807,1.4851,10,36610148.0,0.17,,,1.3366,,,,False,OPNUSDT,2026-06-02 18:00:00 UTC,2034
1.9931,16,,,,0.1207,,0.10439105,1.4919,11,36682669.0,0.2,,,1.3486,,,,False,OPNUSDT,2026-06-02 18:15:00 UTC,1471
