symbol,file,event_start_time,event_peak_time,event_peak_return,first_signal_time,first_signal_price,first_signal_pattern,first_signal_bias,first_signal_readiness,first_signal_confidence,lead_bars,max_future_return_after_signal,max_adverse_before_rise,result_class,failure_reason,total_labeled_events_in_file,quote_volume_available
ALLOUSDT,ALLOUSDT.txt,2026-04-29 00:00:00 UTC,2026-05-02 12:00:00 UTC,0.12880159,2026-05-16 15:00:00 UTC,0.08478,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,-237,0.03054966,0.00176929,Late Detection,TRIGGER_DETECTED_TOO_LATE,6,False
BEATUSDT,BEATUSDT.txt,2026-05-19 04:30:00 UTC,2026-05-19 07:45:00 UTC,0.09077332,2026-05-17 16:15:00 UTC,0.6655,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,158,0.03981968,0.00150263,Late Detection,TRIGGER_DETECTED_TOO_LATE,6,False
BSBUSDT,BSBUSDT.txt,2026-05-17 09:15:00 UTC,2026-05-17 14:30:00 UTC,0.29220521,2026-05-18 04:45:00 UTC,0.59549,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,-57,0.13580413,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,13,False
CLOUSDT,FETCHING BINANC-WPS Office (١).txt,2026-05-07 07:25:00 UTC,2026-05-07 09:25:00 UTC,0.26283873,2026-05-06 09:10:00 UTC,0.11322,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,291,0.00856739,0.00061827,Late Detection,TRIGGER_DETECTED_TOO_LATE,1,False
DOGSUSDT,FETCING BINANC-WPS Office.txt,2026-05-04 18:15:00 UTC,2026-05-05 00:15:00 UTC,0.14705882,2026-05-04 02:15:00 UTC,3.3e-05,Fresh Long Build-up,Early Bullish Structure,Accepted Structure,Medium,88,0.03030303,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,9,False
DYDXUSDT,FETCHING BINANC-WPS Office (٦).txt,2026-05-07 04:15:00 UTC,2026-05-07 10:15:00 UTC,0.12286689,2026-05-07 05:00:00 UTC,0.15,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,21,0.13,0.00466667,Live Success,,2,False
EDENUSDT,EDENUSDT.txt,2026-05-17 11:10:00 UTC,2026-05-17 12:30:00 UTC,0.11866029,2026-05-17 13:10:00 UTC,0.04651,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,-8,0.3513223,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,3,False
GUAUSDT,GUAUSDT.txt,2026-05-23 13:45:00 UTC,2026-05-23 19:00:00 UTC,0.15588895,2026-05-24 08:00:00 UTC,1.4344,Price-led Base Vacuum Ignition without OI Expansion,Early-Live Bullish Structure,Accepted Structure,Medium,-52,0.03799498,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,10,False
JTOUSDT,FETCHING BINANC-WPS Office (٢).txt,2026-05-06 12:20:00 UTC,2026-05-06 14:20:00 UTC,0.12274918,2026-05-06 07:05:00 UTC,0.3827,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,87,0.03135615,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,4,False
MAGMAUSDT,MAGMAUSDT.txt,2026-06-03 01:15:00 UTC,2026-06-03 07:15:00 UTC,0.13658224,2026-06-03 03:45:00 UTC,0.28169,Absorption After Flush,Early Bullish Structure,Early-Live Structure,Medium,14,0.22876211,0.01338351,Live Success,,2,False
NILUSDT,FETCHING BINANC-WPS Office (٣).txt,2026-05-07 04:15:00 UTC,2026-05-07 06:15:00 UTC,0.15628971,2026-05-06 06:25:00 UTC,0.04049,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,286,0.08520622,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,6,False
NOTUSDT,FETCHING BINANC-WPS Office (٤).txt,2026-05-06 00:50:00 UTC,2026-05-06 02:50:00 UTC,0.19577735,2026-05-06 10:55:00 UTC,0.000557,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,-97,0.02154399,0.01615799,Late Detection,TRIGGER_DETECTED_TOO_LATE,4,False
OPNUSDT,OPNUSDT.txt,2026-06-02 15:30:00 UTC,2026-06-02 21:30:00 UTC,0.15184187,2026-06-03 13:30:00 UTC,0.1279,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,-64,0.56919468,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,3,False
RAVEUSDT,FETCHING BINANC-WPS Offi.txt,2026-04-11 21:00:00 UTC,2026-04-12 21:00:00 UTC,1.536679,2026-04-13 16:00:00 UTC,11.24749,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,-19,0.31519566,0.35233817,Late Detection,TRIGGER_DETECTED_TOO_LATE,4,False
TSTUSDT,FETCHING BINANC-WPS Office (٥).txt,2026-05-02 20:15:00 UTC,2026-05-03 00:00:00 UTC,0.0813261,2026-05-01 18:00:00 UTC,0.010801,Price-led Base Ignition without Reset,Early-Live Bullish Structure,Accepted Structure,Medium,120,0.0,0.0,Late Detection,TRIGGER_DETECTED_TOO_LATE,7,False
UBUSDT,FETCHING BINANC-WPS Office.txt,2026-05-17 13:00:00 UTC,2026-05-17 18:45:00 UTC,0.12321232,2026-05-17 16:30:00 UTC,0.15242,Short Squeeze / Live Ignition,Bullish but Event-driven,Accepted Structure,Medium,9,0.12793597,0.01305603,Live Success,,5,False
