age_at_cutoff_minutes,age_prior_median,assessment_status,campaign_index,cutoff_time,cutoff_timestamp,historical_validity,missing_baselines,missing_current_context,oi_reset_magnitude_pct,oi_reset_prior_median,opposing_evidence,price_reset_magnitude_pct,price_reset_prior_median,prior_campaign_count,proposed_state,record_type,rule_id,supporting_evidence,symbol
45.0,,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,1,2026-07-13T20:30:00+00:00,1783974600000,REJECTED,age|price_reset|oi_reset,price_reset_magnitude_pct|oi_reset_magnitude_pct,,,,,,0,ACCEPTED_IGNITION,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
105.0,,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,1,2026-07-13T21:30:00+00:00,1783978200000,REJECTED,age|price_reset|oi_reset,price_reset_magnitude_pct|oi_reset_magnitude_pct,,,,,,0,COOLING,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
255.0,,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,1,2026-07-14T00:00:00+00:00,1783987200000,REJECTED,age|price_reset|oi_reset,price_reset_magnitude_pct|oi_reset_magnitude_pct,,,,,,0,CONTINUATION_RELOAD,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
570.0,,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,1,2026-07-14T05:15:00+00:00,1784006100000,REJECTED,age|price_reset|oi_reset,price_reset_magnitude_pct|oi_reset_magnitude_pct,,,,,,0,FAILURE,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
165.0,105.0,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,3,2026-07-14T22:00:00+00:00,1784066400000,REJECTED,price_reset|oi_reset,,0.19770059161228204,1.1466090308052457,,3.0344827586206935,3.356643356643352,2,ACCEPTED_IGNITION,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
180.0,105.0,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,3,2026-07-14T22:15:00+00:00,1784067300000,REJECTED,price_reset|oi_reset,,0.19770059161228204,1.1466090308052457,,3.0344827586206935,3.356643356643352,2,COOLING,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
195.0,105.0,ABSTAIN_INSUFFICIENT_PRIOR_HISTORY,3,2026-07-14T22:30:00+00:00,1784068200000,REJECTED,price_reset|oi_reset,,0.19770059161228204,1.1466090308052457,,3.0344827586206935,3.356643356643352,2,FAILURE,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,,ESPORTSUSDT
405.0,150.0,HYPOTHESIS_CONTEXT_NOT_SUPPORTED,4,2026-07-15T05:30:00+00:00,1784093400000,REJECTED,,,0.0,0.6721548112087639,deeper_price_reset_than_prior_median|deeper_oi_reset_than_prior_median,0.0,3.1955630576320226,3,ACCEPTED_IGNITION,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,longer_than_prior_median,ESPORTSUSDT
540.0,150.0,HYPOTHESIS_CONTEXT_NOT_SUPPORTED,4,2026-07-15T07:45:00+00:00,1784101500000,REJECTED,,,0.0,0.6721548112087639,deeper_price_reset_than_prior_median|deeper_oi_reset_than_prior_median,0.0,3.1955630576320226,3,EXPANSION,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,longer_than_prior_median,ESPORTSUSDT
555.0,150.0,HYPOTHESIS_CONTEXT_NOT_SUPPORTED,4,2026-07-15T08:00:00+00:00,1784102400000,REJECTED,,,0.0,0.6721548112087639,deeper_price_reset_than_prior_median|deeper_oi_reset_than_prior_median,0.0,3.1955630576320226,3,CONTINUATION_RELOAD,REJECTED_TRANSITION_CONTEXT_CONTROL,ESPORTS_DEEP_RESET_CYCLE_CONTEXT,longer_than_prior_median,ESPORTSUSDT
