symbol,timeframe,left_path,right_path,relation,overlap_or_gap_seconds
ACTUSDT,5m,ACTUSDT_5m_limit100_20260628_164520_enriched_candles.csv,ACTUSDT_5m_limit100_20260628_164520_enriched_candles.jsonl,EXACT_COVERAGE,0
AGLDUSDT,15m,AGLDUSDT_15m_limit100_20260626_135349_enriched_candles.csv,AGLDUSDT_15m_limit100_20260626_135349_enriched_candles.jsonl,EXACT_COVERAGE,0
AKEUSDT,15m,AKEUSDT_15m_limit100_20260711_113420_enriched_candles.csv,AKEUSDT_15m_limit100_20260715_085112_enriched_candles.csv,GAP,247500
AKEUSDT,15m,AKEUSDT_15m_limit100_20260711_113420_enriched_candles.csv,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.csv,GAP,234000
AKEUSDT,15m,AKEUSDT_15m_limit100_20260711_113420_enriched_candles.csv,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.jsonl,GAP,234000
AKEUSDT,15m,AKEUSDT_15m_limit100_20260711_113420_enriched_candles.csv,AKEUSDT_15m_limit500_20260717_211231_enriched_candles.csv,GAP,104400
AKEUSDT,15m,AKEUSDT_15m_limit100_20260711_113420_enriched_candles.csv,AKEUSDT_15m_limit500_20260717_211231_enriched_candles.jsonl,GAP,104400
AKEUSDT,15m,AKEUSDT_15m_limit100_20260715_085112_enriched_candles.csv,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.csv,GAP,569700
AKEUSDT,15m,AKEUSDT_15m_limit100_20260715_085112_enriched_candles.csv,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.jsonl,GAP,569700
AKEUSDT,15m,AKEUSDT_15m_limit100_20260715_085112_enriched_candles.csv,AKEUSDT_15m_limit500_20260717_211231_enriched_candles.csv,B_CONTAINS_A,0
AKEUSDT,15m,AKEUSDT_15m_limit100_20260715_085112_enriched_candles.csv,AKEUSDT_15m_limit500_20260717_211231_enriched_candles.jsonl,B_CONTAINS_A,0
AKEUSDT,15m,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.csv,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.jsonl,EXACT_COVERAGE,0
