stem,csv_path,jsonl_path,status,csv_rows,jsonl_rows,csv_schema_hash,jsonl_schema_hash
ACTUSDT_5m_limit100_20260628_164520_enriched_candles,ACTUSDT_5m_limit100_20260628_164520_enriched_candles.csv,ACTUSDT_5m_limit100_20260628_164520_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,99,99,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AGLDUSDT_15m_limit100_20260626_135349_enriched_candles,AGLDUSDT_15m_limit100_20260626_135349_enriched_candles.csv,AGLDUSDT_15m_limit100_20260626_135349_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,99,99,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AKEUSDT_15m_limit500_20260707_181139_enriched_candles,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.csv,AKEUSDT_15m_limit500_20260707_181139_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,499,499,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AKEUSDT_15m_limit500_20260717_211231_enriched_candles,AKEUSDT_15m_limit500_20260717_211231_enriched_candles.csv,AKEUSDT_15m_limit500_20260717_211231_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,499,499,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AKEUSDT_1d_limit500_20260717_212121_enriched_candles,AKEUSDT_1d_limit500_20260717_212121_enriched_candles.csv,AKEUSDT_1d_limit500_20260717_212121_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,29,29,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AKEUSDT_1h_limit500_20260717_211343_enriched_candles,AKEUSDT_1h_limit500_20260717_211343_enriched_candles.csv,AKEUSDT_1h_limit500_20260717_211343_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,499,499,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AKEUSDT_4h_limit500_20260717_211446_enriched_candles,AKEUSDT_4h_limit500_20260717_211446_enriched_candles.csv,AKEUSDT_4h_limit500_20260717_211446_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,179,179,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
AKEUSDT_5m_limit500_20260717_211054_enriched_candles,AKEUSDT_5m_limit500_20260717_211054_enriched_candles.csv,AKEUSDT_5m_limit500_20260717_211054_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,499,499,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827,701217c8ecae1a557ac8ab76bbea9c6861cef1d07c5d4a730ebfbc662b08c827
BANKUSDT_15m_limit500_20260718_174346_enriched_candles,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.csv,BANKUSDT_15m_limit500_20260718_174346_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,499,499,8008241737123a8c698e53a811722815ca75a0414cf90ff3da08ed2f8cae6fee,8008241737123a8c698e53a811722815ca75a0414cf90ff3da08ed2f8cae6fee
BANKUSDT_1d_limit500_20260718_174500_enriched_candles,BANKUSDT_1d_limit500_20260718_174500_enriched_candles.csv,BANKUSDT_1d_limit500_20260718_174500_enriched_candles.jsonl,SEMANTICALLY_EQUIVALENT,29,29,8008241737123a8c698e53a811722815ca75a0414cf90ff3da08ed2f8cae6fee,8008241737123a8c698e53a811722815ca75a0414cf90ff3da08ed2f8cae6fee
