symbol,5m,15m,1h,4h,1d,csv,jsonl,total,high_quality,medium_quality,low_quality,unusable
AKEUSDT,2,6,2,2,2,8,6,14,14,0,0,0
VELVETUSDT,0,7,2,2,2,7,6,13,13,0,0,0
ESPORTSUSDT,3,2,2,2,2,6,5,11,11,0,0,0
BANKUSDT,1,3,2,1,3,8,2,10,10,0,0,0
LYNUSDT,2,4,2,2,0,5,5,10,10,0,0,0
MAGMAUSDT,0,4,2,2,2,6,4,10,10,0,0,0
TLMUSDT,3,2,1,1,1,8,0,8,8,0,0,0
TACUSDT,2,5,0,0,0,6,1,7,6,1,0,0
LABUSDT,1,5,0,0,0,5,1,6,6,0,0,0
ARIAUSDT,1,1,1,1,1,5,0,5,5,0,0,0
TRADOORUSDT,1,1,1,1,1,5,0,5,5,0,0,0
USUSDT,4,1,0,0,0,5,0,5,4,1,0,0
ZBTUSDT,1,1,1,1,1,5,0,5,5,0,0,0
ACTUSDT,2,1,1,0,0,3,1,4,4,0,0,0
BELUSDT,0,4,0,0,0,2,2,4,4,0,0,0
CLOUSDT,1,3,0,0,0,3,1,4,4,0,0,0
FOGOUSDT,0,2,0,2,0,2,2,4,4,0,0,0
HMSTRUSDT,0,4,0,0,0,3,1,4,4,0,0,0
MANTAUSDT,2,1,1,0,0,3,1,4,4,0,0,0
SKYAIUSDT,0,4,0,0,0,2,2,4,4,0,0,0
EPICUSDT,0,3,0,0,0,2,1,3,3,0,0,0
GUAUSDT,0,3,0,0,0,2,1,3,3,0,0,0
MUSDT,1,2,0,0,0,3,0,3,3,0,0,0
TAGUSDT,2,1,0,0,0,3,0,3,2,1,0,0
AGLDUSDT,0,2,0,0,0,1,1,2,2,0,0,0
ALLOUSDT,1,1,0,0,0,2,0,2,2,0,0,0
CELOUSDT,0,2,0,0,0,1,1,2,2,0,0,0
COOKIEUSDT,0,2,0,0,0,1,1,2,2,0,0,0
EVAAUSDT,1,1,0,0,0,2,0,2,2,0,0,0
HEIUSDT,0,2,0,0,0,2,0,2,2,0,0,0
HOTUSDT,0,2,0,0,0,1,1,2,2,0,0,0
NOMUSDT,1,1,0,0,0,2,0,2,2,0,0,0
OGNUSDT,0,2,0,0,0,2,0,2,2,0,0,0
PUNDIXUSDT,0,2,0,0,0,1,1,2,2,0,0,0
RAVEUSDT,0,2,0,0,0,1,1,2,2,0,0,0
RPLUSDT,0,2,0,0,0,2,0,2,2,0,0,0
TAIKOUSDT,1,1,0,0,0,2,0,2,2,0,0,0
TUSDT,1,1,0,0,0,2,0,2,2,0,0,0
1MBABYDOGEUSDT,0,1,0,0,0,1,0,1,1,0,0,0
ACEUSDT,1,0,0,0,0,1,0,1,1,0,0,0
AIOTUSDT,1,0,0,0,0,1,0,1,1,0,0,0
ARPAUSDT,0,1,0,0,0,1,0,1,1,0,0,0
BIRBUSDT,0,1,0,0,0,1,0,1,1,0,0,0
BREVUSDT,0,1,0,0,0,1,0,1,1,0,0,0
BUSDT,0,1,0,0,0,1,0,1,1,0,0,0
CRWDUSDT,0,1,0,0,0,1,0,1,0,1,0,0
DODOXUSDT,0,1,0,0,0,1,0,1,1,0,0,0
EDGEUSDT,0,1,0,0,0,1,0,1,1,0,0,0
GUSDT,0,1,0,0,0,1,0,1,1,0,0,0
GWEIUSDT,0,1,0,0,0,1,0,1,1,0,0,0
HUSDT,0,1,0,0,0,1,0,1,0,1,0,0
INUSDT,0,1,0,0,0,1,0,1,1,0,0,0
KORUUSDT,1,0,0,0,0,1,0,1,1,0,0,0
LUMIAUSDT,1,0,0,0,0,1,0,1,1,0,0,0
MAVIAUSDT,0,1,0,0,0,1,0,1,1,0,0,0
MMTUSDT,0,1,0,0,0,1,0,1,1,0,0,0
NFPUSDT,1,0,0,0,0,1,0,1,1,0,0,0
OGUSDT,1,0,0,0,0,1,0,1,0,1,0,0
PIPPINUSDT,1,0,0,0,0,1,0,1,1,0,0,0
POWERUSDT,0,1,0,0,0,1,0,1,1,0,0,0
RVNUSDT,1,0,0,0,0,1,0,1,1,0,0,0
SAFEUSDT,0,1,0,0,0,1,0,1,1,0,0,0
SENTUSDT,1,0,0,0,0,1,0,1,1,0,0,0
SIRENUSDT,0,1,0,0,0,1,0,1,1,0,0,0
SKLUSDT,0,1,0,0,0,1,0,1,1,0,0,0
SLPUSDT,1,0,0,0,0,1,0,1,1,0,0,0
SNXXUSDT,1,0,0,0,0,1,0,1,0,1,0,0
SXTUSDT,0,1,0,0,0,1,0,1,1,0,0,0
SYNUSDT,1,0,0,0,0,1,0,1,1,0,0,0
TUTUSDT,1,0,0,0,0,1,0,1,1,0,0,0
UAIUSDT,0,1,0,0,0,1,0,1,1,0,0,0
VANRYUSDT,0,1,0,0,0,1,0,1,1,0,0,0
XPINUSDT,0,1,0,0,0,1,0,1,1,0,0,0
YFIUSDT,1,0,0,0,0,1,0,1,1,0,0,0
ZKPUSDT,0,1,0,0,0,1,0,1,1,0,0,0
