assessment_status,campaign_index,checkpoint_minutes,coverage_status,dominant_hypothesis,execution_decay,execution_decay_prior_median,execution_rank_last,execution_rank_last_prior_median,execution_rank_median,execution_rank_median_prior_median,ignition_time,missing_evidence,oi_return_pct,oi_return_pct_prior_median,opposing_evidence,positive_oi_fraction,positive_oi_fraction_prior_median,price_min_return_pct,price_min_return_pct_prior_median,price_return_pct,price_return_pct_prior_median,prior_campaign_count,prior_campaign_indices,supporting_evidence,taker_imbalance_median,taker_imbalance_median_prior_median,valid_ignition
IGNITION_SNAPSHOT_ONLY,1,0,COMPLETE,UNRESOLVED,0.0,,0.6296296296296297,,0.6296296296296297,,2026-07-04T00:15:00+00:00,post-ignition sequence,0.0,,,,,0.0,,0.0,,0,,ignition proposal frozen,5.408606684683715,,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,1,15,COMPLETE,UNRESOLVED,-0.3082010582010582,,0.32142857142857145,,0.4755291005291006,,2026-07-04T00:15:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-5.199913507901266,,,0.0,,-4.99047619047619,,-4.99047619047619,,0,,,0.7855875753085306,,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,1,30,COMPLETE,UNRESOLVED,0.09450830140485311,,0.7241379310344828,,0.6296296296296297,,2026-07-04T00:15:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-6.678795287864025,,,0.0,,-11.58095238095238,,-11.58095238095238,,0,,,-3.8374315340666536,,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,1,45,COMPLETE,UNRESOLVED,-0.29629629629629634,,0.3333333333333333,,0.4814814814814815,,2026-07-04T00:15:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-7.193343009771979,,,0.0,,-11.73333333333334,,-11.73333333333334,,0,,,-2.497391718288095,,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,1,60,COMPLETE,UNRESOLVED,-0.3715651135005974,,0.25806451612903225,,0.3333333333333333,,2026-07-04T00:15:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-4.561791659459102,,,0.25,,-14.133333333333342,,-14.133333333333342,,0,,,-3.8374315340666536,,True
IGNITION_SNAPSHOT_ONLY,2,0,COMPLETE,UNRESOLVED,0.0,0.0,0.8695652173913043,0.6296296296296297,0.8695652173913043,0.6296296296296297,2026-07-04T05:00:00+00:00,post-ignition sequence,0.0,0.0,,,,0.0,0.0,0.0,0.0,1,1,ignition proposal frozen,5.747002117133096,5.408606684683715,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,2,15,COMPLETE,UNRESOLVED,-0.039777983348751156,-0.3082010582010582,0.8297872340425532,0.32142857142857145,0.8496762257169288,0.4755291005291006,2026-07-04T05:00:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-4.1218938937975675,-5.199913507901266,,0.0,0.0,-2.533969886154974,-4.99047619047619,-2.533969886154974,-4.99047619047619,1,1,,2.537015007419916,0.7855875753085306,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,2,30,COMPLETE,UNRESOLVED,-0.3278985507246377,0.09450830140485311,0.5416666666666666,0.7241379310344828,0.8297872340425532,0.6296296296296297,2026-07-04T05:00:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-5.671490444573379,-6.678795287864025,,0.0,0.0,-2.533969886154974,-11.58095238095238,-1.0282776349614497,-11.58095238095238,1,1,,3.7054301271479955,-3.8374315340666536,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,2,45,COMPLETE,UNRESOLVED,-0.5430346051464063,-0.29629629629629634,0.32653061224489793,0.3333333333333333,0.68572695035461,0.4814814814814815,2026-07-04T05:00:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-3.90697493679959,-7.193343009771979,,0.3333333333333333,0.0,-2.533969886154974,-11.73333333333334,0.1836210062431176,-11.73333333333334,1,1,,2.6000145629696383,-2.497391718288095,True
ABSTAIN_INSUFFICIENT_PRIOR_BASELINE,2,60,COMPLETE,UNRESOLVED,-0.4695652173913043,-0.3715651135005974,0.4,0.25806451612903225,0.5416666666666666,0.3333333333333333,2026-07-04T05:00:00+00:00,price_return_pct|oi_return_pct|execution_rank_median,-2.786379021683605,-4.561791659459102,,0.5,0.25,-2.533969886154974,-14.133333333333342,0.33051781123760726,-14.133333333333342,1,1,,1.494598998791281,-3.8374315340666536,True
